Sex,Length,Diameter,Height,Whole,Shucked,Viscera,Shell,Rings,Maturity_Level,Random_Index,Biological_Variation
M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,aged,16,1.07198
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,mature,27,-0.25318
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,mature,72,-1.32416
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,mature,30,-1.04046
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,mature,89,-0.51718
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,mature,80,2.21535
M,0.52282,0.37,0.13925,0.82543,0.2165,0.1125,0.165,9,mature,16,0.78959
F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,aged,82,-0.57949
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,mature,91,0.63758
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,aged,69,1.54067
F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,mature,68,0.67152
F,0.52282,0.355,0.13925,0.82543,0.1675,0.0805,0.185,10,mature,22,0.07539
M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,aged,2,-0.69115
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,mature,24,-0.66344
F,0.52282,0.34,0.13925,0.82543,0.188,0.087,0.13,10,mature,16,-0.34792
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,mature,55,-1.02869
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,mature,22,-0.14451
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,aged,55,1.48703
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,mature,78,1.00339
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,aged,61,-0.9211
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,mature,43,0.49916
F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,mature,4,-2.03871
F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,aged,19,1.08872
F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,aged,27,-0.73785
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,aged,92,0.03808
M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,aged,26,-0.93154
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,aged,21,-0.56476
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,mature,75,0.97705
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,aged,80,0.16902
F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,aged,58,1.62382
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,mature,4,1.01493
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,mature,17,0.51894
F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,aged,25,-1.79111
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,mature,42,0.66658
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,mature,51,-0.81241
F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,aged,35,0.8018
